[ 2013-01-10T10:23:14+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:23:14+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.013243s ]
[ 2013-01-10T10:23:14+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.025481s ]
[ 2013-01-10T10:23:14+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:23:14+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008756s ]
[ 2013-01-10T10:23:14+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008851s ]
[ 2013-01-10T10:24:01+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:24:01+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001007s ]
[ 2013-01-10T10:24:01+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001112s ]
[ 2013-01-10T10:24:01+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:24:01+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000657s ]
[ 2013-01-10T10:24:01+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000749s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.000902s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001004s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000761s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000847s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001290s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001407s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000619s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000688s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.000903s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001005s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000664s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000741s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.000894s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.000992s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000593s ]
[ 2013-01-10T10:24:02+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000662s ]
[ 2013-01-10T10:30:50+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T10:30:50+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.002480s ]
[ 2013-01-10T10:30:50+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.002598s ]
[ 2013-01-10T10:30:50+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T10:30:50+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001294s ]
[ 2013-01-10T10:30:50+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001384s ]
[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.085258s ]
[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.114070s ]
[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.038292s ]
[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.038404s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001577s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001685s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012074s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012167s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001027s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001132s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000733s ]
